movement,intervals,work,rest,Time ,Group,Type,Section
PU(2-4),7,6,3,63,,,RAMP
REST,1,,27,27,,,RAMP
MC(4),7,6,3,63,,,RAMP
REST,1,,27,27,,,RAMP
LNG(2-3),7,6,3,63,,,RAMP
REST,1,,27,27,,,RAMP
OGBRP(8-10) + FLSQ(15-20),2,20,10,60,A,,SUMMIT
REST,1,,30,30,,,SUMMIT
OGBRP(8-10) + FLSQ(15-20),2,20,10,60,A,,SUMMIT
REST,1,,30,30,,,SUMMIT
OGBRP(8-10) + FLSQ(15-20),2,20,10,60,A,,SUMMIT
REST,1,,30,30,,,SUMMIT
OGBRP(8-10) + FLSQ(15-20),2,20,10,60,A,,SUMMIT
REST,1,,27,27,,,SUMMIT
LNG(2-3),7,6,3,63,,,RUNOUT
REST,1,,27,27,,,RUNOUT
MC(4),7,6,3,63,,,RUNOUT
REST,1,,27,27,,,RUNOUT
PU(2-4),7,6,3,63,,,RUNOUT
,,,,14.5,,,
