movement,intervals,work,rest,Time ,Group,TYPE,Section
8CBB(1),10,6,3,90,,,RAMP
REST,1,,30,30,,,RAMP
ZPR(1),10,6,3,90,,,RAMP
REST,1,,30,30,,,RAMP
[1]SQTH(8-10) + [1]FLSQ(15-20) + [1]SQTH(8-10),3,20,10,90,A,,SUMMIT
REST,1,,30,30,,,SUMMIT
[1]FLSQ(15-20) + [1]SQTH(8-10) + [1]FLSQ(15-20),3,20,10,90,B,,SUMMIT
REST,1,,30,30,,,SUMMIT
[1]SQTH(8-10) + [1]FLSQ(15-20) + [1]SQTH(8-10),3,20,10,90,C,,SUMMIT
REST,1,,30,30,,,SUMMIT
[1]FLSQ(15-20) + [1]SQTH(8-10) + [1]FLSQ(15-20),3,20,10,90,D,,SUMMIT
REST,1,,30,30,,,RUNOUT
ZPR(1),10,6,3,90,,,RUNOUT
REST,1,,30,30,,,RUNOUT
8CBB(1),10,6,3,90,,,RUNOUT
,,,,15.5,,,
