movement,intervals,work,rest,Time ,Group,TYPE,Section
8CBB(1),10,6,3,90,,,RAMP
REST,1,,30,30,,,RAMP
ZPR(1),10,6,3,90,,,RAMP
REST,1,,30,30,,,RAMP
OGBRP(8-10) + FLSQ(15-20) + OGBRP(8-10),3,20,10,90,A,,SUMMIT
REST,1,,30,30,,,SUMMIT
FLSQ(15-20) + OGBRP(8-10) + FLSQ(15-20) ,3,20,10,90,B,,SUMMIT
REST,1,,30,30,,,SUMMIT
OGBRP(8-10) + FLSQ(15-20) + OGBRP(8-10),3,20,10,90,A,,SUMMIT
REST,1,,30,30,,,SUMMIT
FLSQ(15-20) + OGBRP(8-10) + FLSQ(15-20) ,3,20,10,90,B,,SUMMIT
REST,1,,30,30,,,RUNOUT
ZPR(1),10,6,3,90,,,RUNOUT
REST,1,,30,30,,,RUNOUT
8CBB(1),10,6,3,90,,,RUNOUT
,,,,15.5,,,
